business_name,industry,city,state_code,state_name,address,phone,has_website,website_url,website_confidence,lead_score,source,created_at,notes
Theo's Huntsville Sushi Bar,Restaurant,Huntsville,TX,Texas,"7093 Enterprise Rd, Huntsville, TX 95383",(726) 240-2068,True,,0.63,46,sweep_v25,2026-06-06T04:42:54.735885,Target for Elegant Food template demo
Southwest Roofing Contractors,Roofing,New Rochelle,NY,New York,"2973 Valley Blvd, New Rochelle, NY 22648",(716) 777-1899,True,,0.8,57,sweep_v25,2026-06-06T04:42:54.735932,Target for Modern Trade template demo
Atlas Heating & Air of Payson,HVAC,Payson,AZ,Arizona,"2990 Maple Dr, Payson, AZ 22120",(480) 867-4546,True,,0.76,50,sweep_v25,2026-06-06T04:42:54.735974,Target for Modern Trade template demo
Five Star Cooling & Heating of Johnstown,HVAC,Johnstown,NY,New York,"8665 Market St, Johnstown, NY 18367",(347) 797-4243,False,,0.76,84,sweep_v25,2026-06-06T04:42:54.736016,Target for Modern Trade template demo
All-American Exteriors,Roofing,Maricopa,AZ,Arizona,"619 Franklin St, Maricopa, AZ 89161",(520) 842-2835,False,,0.74,100,sweep_v25,2026-06-06T04:42:54.736058,Target for Modern Trade template demo
Total Construction & Roofing of Haverstraw,Roofing,Haverstraw,NY,New York,"4908 Market St, Haverstraw, NY 25420",(315) 234-9023,True,,0.84,59,sweep_v25,2026-06-06T04:42:54.736100,Target for Modern Trade template demo
State Restaurant,Restaurant,Buffalo,NY,New York,"7775 Park Ave, Buffalo, NY 74732",(607) 323-6898,True,,0.6,49,sweep_v25,2026-06-06T04:42:54.736142,Target for Elegant Food template demo
Steadfast Casa Grande Roofing & Construction,Roofing,Casa Grande,AZ,Arizona,"1588 Washington Blvd, Casa Grande, AZ 94037",(480) 932-5097,True,,0.74,56,sweep_v25,2026-06-06T04:42:54.736184,Target for Modern Trade template demo
Western Roofing Co.,Roofing,Glen Cove,NY,New York,"5469 Hamilton Ave, Glen Cove, NY 28766",(315) 211-2801,True,,0.61,51,sweep_v25,2026-06-06T04:42:54.736255,Target for Modern Trade template demo
Five Mesa Diner,Restaurant,Mesa,AZ,Arizona,"2871 Cedar Ln, Mesa, AZ 40399",(928) 900-7039,True,,0.82,44,sweep_v25,2026-06-06T04:42:54.736303,Target for Elegant Food template demo
Casa Kitchen,Restaurant,Parker,AZ,Arizona,"585 Oak Ave, Parker, AZ 55318",(623) 795-9826,True,,0.71,53,sweep_v25,2026-06-06T04:42:54.736345,Target for Elegant Food template demo
Main Rye Cafe & Grill,Restaurant,Rye,NY,New York,"7100 Pine St, Rye, NY 58940",(845) 220-3688,True,,0.85,50,sweep_v25,2026-06-06T04:42:54.736388,Target for Elegant Food template demo
Red HVAC Services,HVAC,Apache Junction,AZ,Arizona,"3936 Innovation Blvd, Apache Junction, AZ 88754",(520) 653-4038,True,,0.71,58,sweep_v25,2026-06-06T04:42:54.736431,Target for Modern Trade template demo
Famous University Park Pizza & Pasta,Restaurant,University Park,TX,Texas,"4124 Cedar Ln, University Park, TX 58020",(409) 446-7144,False,,0.79,95,sweep_v25,2026-06-06T04:42:54.736475,Target for Elegant Food template demo
Mountain Grille,Restaurant,Pasadena,TX,Texas,"3016 State St, Pasadena, TX 19375",(713) 782-6086,True,,0.7,51,sweep_v25,2026-06-06T04:42:54.736517,Target for Elegant Food template demo
City Roofing Company of Prescott,Roofing,Prescott,AZ,Arizona,"9755 Maple Dr, Prescott, AZ 71946",(520) 377-3781,False,,0.82,100,sweep_v25,2026-06-06T04:42:54.736562,Target for Modern Trade template demo
Desert Roofing of Galveston,Roofing,Galveston,TX,Texas,"8975 Franklin St, Galveston, TX 30657",(432) 847-6436,True,,0.73,53,sweep_v25,2026-06-06T04:42:54.736606,Target for Modern Trade template demo
Valley Roofing Contractors of Flagstaff,Roofing,Flagstaff,AZ,Arizona,"5976 Highland Ave, Flagstaff, AZ 36361",(623) 673-3709,False,,0.76,97,sweep_v25,2026-06-06T04:42:54.736647,Target for Modern Trade template demo
Guardian Big Spring Roofing Company,Roofing,Big Spring,TX,Texas,"7240 Franklin St, Big Spring, TX 13777",(325) 975-8154,True,,0.74,60,sweep_v25,2026-06-06T04:42:54.736689,Target for Modern Trade template demo
Texas Fort Worth Temperature Control,HVAC,Fort Worth,TX,Texas,"8783 Church St, Fort Worth, TX 69444",(972) 267-9944,True,,0.76,60,sweep_v25,2026-06-06T04:42:54.736732,Target for Modern Trade template demo
A Cottonwood Pizza & Pasta,Restaurant,Cottonwood,AZ,Arizona,"7503 Valley Blvd, Cottonwood, AZ 25320",(480) 497-1149,False,,0.88,85,sweep_v25,2026-06-06T04:42:54.736774,Target for Elegant Food template demo
Tri-State Maricopa HVAC Solutions,HVAC,Maricopa,AZ,Arizona,"3060 1st Ave, Maricopa, AZ 36291",(928) 826-5572,True,,0.65,43,sweep_v25,2026-06-06T04:42:54.736830,Target for Modern Trade template demo
Superior Roofing & Remodeling of Plattsburgh,Roofing,Plattsburgh,NY,New York,"6882 Innovation Blvd, Plattsburgh, NY 64851",(845) 660-8182,False,,0.7,94,sweep_v25,2026-06-06T04:42:54.736873,Target for Modern Trade template demo
Frontier Schenectady Temperature Control,HVAC,Schenectady,NY,New York,"9243 Jackson Blvd, Schenectady, NY 14052",(212) 918-3486,False,,0.87,83,sweep_v25,2026-06-06T04:42:54.736914,Target for Modern Trade template demo
King HVAC,HVAC,Corpus Christi,TX,Texas,"2864 3rd St, Corpus Christi, TX 14111",(830) 259-7412,True,,0.7,51,sweep_v25,2026-06-06T04:42:54.736959,Target for Modern Trade template demo
Sahara HVAC of North Richland Hills,HVAC,North Richland Hills,TX,Texas,"3968 1st Ave, North Richland Hills, TX 60313",(325) 219-9532,True,,0.74,57,sweep_v25,2026-06-06T04:42:54.737001,Target for Modern Trade template demo
Patriot Heating & Cooling of Yonkers,HVAC,Yonkers,NY,New York,"6537 Market St, Yonkers, NY 13399",(315) 751-3611,False,,0.83,92,sweep_v25,2026-06-06T04:42:54.737045,Target for Modern Trade template demo
Master Richardson Roofing Company,Roofing,Richardson,TX,Texas,"5020 Highland Ave, Richardson, TX 30312",(512) 200-3212,False,,0.71,93,sweep_v25,2026-06-06T04:42:54.737088,Target for Modern Trade template demo
Top Temperature Control of Buffalo,HVAC,Buffalo,NY,New York,"4434 Enterprise Rd, Buffalo, NY 52538",(646) 483-7977,True,,0.9,49,sweep_v25,2026-06-06T04:42:54.737130,Target for Modern Trade template demo
House of Rosenberg BBQ & Grill,Restaurant,Rosenberg,TX,Texas,"2088 Highland Ave, Rosenberg, TX 20115",(361) 662-7169,False,,0.83,84,sweep_v25,2026-06-06T04:42:54.737173,Target for Elegant Food template demo
Gulf Roofing Solutions of Victoria,Roofing,Victoria,TX,Texas,"4609 Technology Dr, Victoria, TX 42009",(254) 482-1086,True,,0.83,61,sweep_v25,2026-06-06T04:42:54.737242,Target for Modern Trade template demo
Cool Temple Heating & Cooling,HVAC,Temple,TX,Texas,"5094 Center St, Temple, TX 99921",(940) 446-1504,False,,0.77,96,sweep_v25,2026-06-06T04:42:54.737291,Target for Modern Trade template demo
One Italian Kitchen,Restaurant,Sierra Vista,AZ,Arizona,"5908 3rd St, Sierra Vista, AZ 23806",(928) 214-1833,False,,0.75,89,sweep_v25,2026-06-06T04:42:54.737335,Target for Elegant Food template demo
ABC Climate Control of Prescott,HVAC,Prescott,AZ,Arizona,"6135 Washington Blvd, Prescott, AZ 93569",(623) 288-6138,False,,0.94,91,sweep_v25,2026-06-06T04:42:54.737377,Target for Modern Trade template demo
Pro Exteriors of Avondale,Roofing,Avondale,AZ,Arizona,"1093 Oak Ave, Avondale, AZ 34620",(623) 860-3855,True,,0.84,50,sweep_v25,2026-06-06T04:42:54.737420,Target for Modern Trade template demo
Top Yonkers Roof Specialists,Roofing,Yonkers,NY,New York,"4193 Technology Dr, Yonkers, NY 19356",(845) 818-6635,True,,0.71,55,sweep_v25,2026-06-06T04:42:54.737462,Target for Modern Trade template demo
Arrow Galveston Air Systems,HVAC,Galveston,TX,Texas,"8280 3rd St, Galveston, TX 67130",(281) 242-8211,True,,0.76,53,sweep_v25,2026-06-06T04:42:54.737504,Target for Modern Trade template demo
Texas Air Conditioning & Heating of Parker,HVAC,Parker,AZ,Arizona,"5739 Madison Ave, Parker, AZ 96118",(623) 280-5234,False,,0.76,85,sweep_v25,2026-06-06T04:42:54.737546,Target for Modern Trade template demo
Mountain Heating & Air of Surprise,HVAC,Surprise,AZ,Arizona,"8778 Jefferson Dr, Surprise, AZ 77361",(623) 625-5228,False,,0.79,85,sweep_v25,2026-06-06T04:42:54.737588,Target for Modern Trade template demo
Blue Texas City Pizza & Pasta,Restaurant,Texas City,TX,Texas,"4787 Industrial Blvd, Texas City, TX 41623",(682) 677-9755,True,,0.77,49,sweep_v25,2026-06-06T04:42:54.737633,Target for Elegant Food template demo
Elite Grille,Restaurant,The Colony,TX,Texas,"3490 Main St, The Colony, TX 73144",(936) 970-7865,False,,0.86,93,sweep_v25,2026-06-06T04:42:54.737676,Target for Elegant Food template demo
Heritage Roofing Co. of San Luis,Roofing,San Luis,AZ,Arizona,"6292 Main St, San Luis, AZ 39516",(602) 202-8449,True,,0.71,61,sweep_v25,2026-06-06T04:42:54.737717,Target for Modern Trade template demo
Blue Tempe Bakery & Cafe,Restaurant,Tempe,AZ,Arizona,"1960 1st Ave, Tempe, AZ 56336",(480) 414-1640,True,,0.89,42,sweep_v25,2026-06-06T04:42:54.737762,Target for Elegant Food template demo
River Odessa Grille,Restaurant,Odessa,TX,Texas,"7807 Jackson Blvd, Odessa, TX 83598",(936) 435-5340,True,,0.64,47,sweep_v25,2026-06-06T04:42:54.737804,Target for Elegant Food template demo
Three Bisbee Diner,Restaurant,Bisbee,AZ,Arizona,"4869 River Rd, Bisbee, AZ 89051",(623) 489-2695,True,,0.67,40,sweep_v25,2026-06-06T04:42:54.737845,Target for Elegant Food template demo
Southwest Roofers of Prescott Valley,Roofing,Prescott Valley,AZ,Arizona,"2141 Highland Ave, Prescott Valley, AZ 65997",(928) 732-7172,False,,0.81,98,sweep_v25,2026-06-06T04:42:54.737889,Target for Modern Trade template demo
Five Mechanicville Kitchen,Restaurant,Mechanicville,NY,New York,"2306 Adams St, Mechanicville, NY 43210",(585) 993-1087,True,,0.84,37,sweep_v25,2026-06-06T04:42:54.737934,Target for Elegant Food template demo
Alpine Roofing Co. of Mission,Roofing,Mission,TX,Texas,"2170 Veterans Blvd, Mission, TX 44894",(214) 571-9055,True,,0.89,63,sweep_v25,2026-06-06T04:42:54.737976,Target for Modern Trade template demo
American Chino Valley Home Improvements,Roofing,Chino Valley,AZ,Arizona,"7288 Park Ave, Chino Valley, AZ 75347",(928) 837-1465,False,,0.85,96,sweep_v25,2026-06-06T04:42:54.738018,Target for Modern Trade template demo
Red HVAC of Amsterdam,HVAC,Amsterdam,NY,New York,"3386 Commerce St, Amsterdam, NY 56161",(646) 882-6904,True,,0.85,46,sweep_v25,2026-06-06T04:42:54.738062,Target for Modern Trade template demo
High Desert Climate Control of Huntsville,HVAC,Huntsville,TX,Texas,"6136 Madison Ave, Huntsville, TX 15905",(806) 499-2649,True,,0.77,53,sweep_v25,2026-06-06T04:42:54.738104,Target for Modern Trade template demo
Sunrise Abilene Air & Heating,HVAC,Abilene,TX,Texas,"2789 Business Park Dr, Abilene, TX 40270",(936) 729-5738,False,,0.86,91,sweep_v25,2026-06-06T04:42:54.738146,Target for Modern Trade template demo
Silver HVAC Solutions,HVAC,Page,AZ,Arizona,"8021 Sunset Blvd, Page, AZ 96558",(480) 754-3285,False,,0.85,86,sweep_v25,2026-06-06T04:42:54.738189,Target for Modern Trade template demo
Triple Edinburg BBQ & Grill,Restaurant,Edinburg,TX,Texas,"8669 Washington Blvd, Edinburg, TX 94779",(214) 293-5949,True,,0.64,55,sweep_v25,2026-06-06T04:42:54.738259,Target for Elegant Food template demo
Absolute Shingle & Siding of Cohoes,Roofing,Cohoes,NY,New York,"8863 Oak Ave, Cohoes, NY 80881",(929) 777-6508,False,,0.9,91,sweep_v25,2026-06-06T04:42:54.738304,Target for Modern Trade template demo
Golden Cooling Solutions of Rye,HVAC,Rye,NY,New York,"3114 Water St, Rye, NY 62916",(518) 200-1060,True,,0.68,46,sweep_v25,2026-06-06T04:42:54.738347,Target for Modern Trade template demo
Frontier Olean Air Systems,HVAC,Olean,NY,New York,"1818 Maple Dr, Olean, NY 20266",(212) 464-8885,False,,0.76,97,sweep_v25,2026-06-06T04:42:54.738389,Target for Modern Trade template demo
Valley Sushi Bar,Restaurant,Ogdensburg,NY,New York,"3398 Monroe Ave, Ogdensburg, NY 47221",(631) 365-7862,True,,0.67,45,sweep_v25,2026-06-06T04:42:54.738431,Target for Elegant Food template demo
Prime Mechanical of Mechanicville,HVAC,Mechanicville,NY,New York,"4044 Industrial Blvd, Mechanicville, NY 44006",(718) 418-2710,False,,0.79,84,sweep_v25,2026-06-06T04:42:54.738473,Target for Modern Trade template demo
House of Oro Valley Diner,Restaurant,Oro Valley,AZ,Arizona,"7925 Spring St, Oro Valley, AZ 36198",(623) 222-1003,False,,0.85,89,sweep_v25,2026-06-06T04:42:54.738516,Target for Elegant Food template demo
Top HVAC Solutions of Rome,HVAC,Rome,NY,New York,"2444 Innovation Blvd, Rome, NY 68795",(315) 861-4295,True,,0.64,48,sweep_v25,2026-06-06T04:42:54.738560,Target for Modern Trade template demo
Sky Albany Roofers,Roofing,Albany,NY,New York,"5252 Oak Ave, Albany, NY 42203",(585) 675-5850,False,,0.91,98,sweep_v25,2026-06-06T04:42:54.738602,Target for Modern Trade template demo
Service Climate Control of Southlake,HVAC,Southlake,TX,Texas,"283 Center St, Southlake, TX 45967",(432) 880-5925,True,,0.88,53,sweep_v25,2026-06-06T04:42:54.738644,Target for Modern Trade template demo
Casa Big Spring Restaurant,Restaurant,Big Spring,TX,Texas,"2405 Veterans Blvd, Big Spring, TX 91746",(512) 437-8825,False,,0.77,82,sweep_v25,2026-06-06T04:42:54.738686,Target for Elegant Food template demo
Express Climate Control of Keller,HVAC,Keller,TX,Texas,"9603 Center St, Keller, TX 32196",(817) 986-6613,False,,0.83,92,sweep_v25,2026-06-06T04:42:54.738769,Target for Modern Trade template demo
Golden Kitchen,Restaurant,Little Elm,TX,Texas,"2782 Maple Dr, Little Elm, TX 46996",(806) 239-8191,True,,0.63,40,sweep_v25,2026-06-06T04:42:54.738819,Target for Elegant Food template demo
Home El Paso HVAC Solutions,HVAC,El Paso,TX,Texas,"5733 Adams St, El Paso, TX 41094",(713) 836-9778,True,,0.89,49,sweep_v25,2026-06-06T04:42:54.738862,Target for Modern Trade template demo
Guardian Roofing,Roofing,Allen,TX,Texas,"8426 Oak Ave, Allen, TX 75930",(972) 899-1614,True,,0.66,60,sweep_v25,2026-06-06T04:42:54.738904,Target for Modern Trade template demo
Midtown Little Falls Italian Kitchen,Restaurant,Little Falls,NY,New York,"4736 Lake Dr, Little Falls, NY 27823",(646) 765-4200,False,,0.79,81,sweep_v25,2026-06-06T04:42:54.738951,Target for Elegant Food template demo
Noble North Tonawanda Home Improvements,Roofing,North Tonawanda,NY,New York,"1354 Main St, North Tonawanda, NY 59670",(212) 692-3075,True,,0.74,53,sweep_v25,2026-06-06T04:42:54.738995,Target for Modern Trade template demo
Silver Service Experts of College Station,HVAC,College Station,TX,Texas,"418 Adams St, College Station, TX 57141",(940) 923-1921,True,,0.81,56,sweep_v25,2026-06-06T04:42:54.739039,Target for Modern Trade template demo
Little Dallas BBQ & Grill,Restaurant,Dallas,TX,Texas,"1938 Sunset Blvd, Dallas, TX 29950",(806) 734-7213,True,,0.82,54,sweep_v25,2026-06-06T04:42:54.739080,Target for Elegant Food template demo
Quality Chandler Air Conditioning,HVAC,Chandler,AZ,Arizona,"4225 Lake Dr, Chandler, AZ 46246",(480) 504-8051,False,,0.81,89,sweep_v25,2026-06-06T04:42:54.739122,Target for Modern Trade template demo
Santa Fe Jamestown BBQ & Grill,Restaurant,Jamestown,NY,New York,"7651 Church St, Jamestown, NY 64335",(716) 748-8017,False,,0.73,92,sweep_v25,2026-06-06T04:42:54.739164,Target for Elegant Food template demo
West Air Systems of Elmira,HVAC,Elmira,NY,New York,"4692 Jackson Blvd, Elmira, NY 78916",(607) 609-9558,False,,0.91,89,sweep_v25,2026-06-06T04:42:54.739229,Target for Modern Trade template demo
Cool HVAC of Peoria,HVAC,Peoria,AZ,Arizona,"7120 Adams St, Peoria, AZ 67613",(602) 844-2528,True,,0.62,47,sweep_v25,2026-06-06T04:42:54.739278,Target for Modern Trade template demo
Green Air Conditioning & Heating,HVAC,Yuma,AZ,Arizona,"3291 School St, Yuma, AZ 48531",(480) 458-9785,False,,0.72,96,sweep_v25,2026-06-06T04:42:54.739321,Target for Modern Trade template demo
Reliable New York City Temperature Control,HVAC,New York City,NY,New York,"9912 Church St, New York City, NY 69814",(518) 773-4189,True,,0.84,52,sweep_v25,2026-06-06T04:42:54.739363,Target for Modern Trade template demo
National HVAC of Carrollton,HVAC,Carrollton,TX,Texas,"7532 Hamilton Ave, Carrollton, TX 91743",(325) 378-3353,True,,0.89,49,sweep_v25,2026-06-06T04:42:54.739406,Target for Modern Trade template demo
Bella Kitchen,Restaurant,Saratoga Springs,NY,New York,"4096 Valley Blvd, Saratoga Springs, NY 40283",(917) 420-6065,True,,0.75,50,sweep_v25,2026-06-06T04:42:54.739451,Target for Elegant Food template demo
Signature Metal Roofing of Troy,Roofing,Troy,NY,New York,"9510 Cedar Ln, Troy, NY 97039",(607) 807-9456,True,,0.73,53,sweep_v25,2026-06-06T04:42:54.739493,Target for Modern Trade template demo
Southwest HVAC Solutions,HVAC,Coppell,TX,Texas,"5316 Veterans Blvd, Coppell, TX 32295",(806) 962-2035,False,,0.9,92,sweep_v25,2026-06-06T04:42:54.739535,Target for Modern Trade template demo
Heritage Climate Control,HVAC,Hornell,NY,New York,"4075 Jefferson Dr, Hornell, NY 17539",(929) 291-9123,False,,0.92,97,sweep_v25,2026-06-06T04:42:54.739576,Target for Modern Trade template demo
Green Air Conditioning & Heating,HVAC,Pflugerville,TX,Texas,"5640 River Rd, Pflugerville, TX 42087",(432) 617-7678,False,,0.91,90,sweep_v25,2026-06-06T04:42:54.739617,Target for Modern Trade template demo
Valley Service Experts of Jamestown,HVAC,Jamestown,NY,New York,"1784 Lake Dr, Jamestown, NY 97588",(646) 647-8347,False,,0.88,82,sweep_v25,2026-06-06T04:42:54.739659,Target for Modern Trade template demo
Silver Roof & Gutter,Roofing,Hudson,NY,New York,"9248 Enterprise Rd, Hudson, NY 39086",(646) 727-1621,False,,0.81,91,sweep_v25,2026-06-06T04:42:54.739701,Target for Modern Trade template demo
Harvest Taqueria,Restaurant,White Plains,NY,New York,"5277 River Rd, White Plains, NY 46844",(646) 515-1308,True,,0.73,44,sweep_v25,2026-06-06T04:42:54.739743,Target for Elegant Food template demo
Fork & Mission Italian Kitchen,Restaurant,Mission,TX,Texas,"4923 State St, Mission, TX 42622",(409) 962-8114,True,,0.76,51,sweep_v25,2026-06-06T04:42:54.739785,Target for Elegant Food template demo
Shield Roofing of Wickenburg,Roofing,Wickenburg,AZ,Arizona,"4933 Water St, Wickenburg, AZ 61869",(520) 535-8350,False,,0.9,94,sweep_v25,2026-06-06T04:42:54.739829,Target for Modern Trade template demo
Royal Holbrook Roofing Company,Roofing,Holbrook,AZ,Arizona,"8801 Hill St, Holbrook, AZ 70733",(928) 767-1930,False,,0.93,100,sweep_v25,2026-06-06T04:42:54.739872,Target for Modern Trade template demo
Victory Roofing Solutions of Pflugerville,Roofing,Pflugerville,TX,Texas,"1362 Market St, Pflugerville, TX 51522",(210) 630-3793,True,,0.76,64,sweep_v25,2026-06-06T04:42:54.739914,Target for Modern Trade template demo
Valley Temperature Control of Conroe,HVAC,Conroe,TX,Texas,"5869 Highland Ave, Conroe, TX 37538",(214) 997-2598,False,,0.83,86,sweep_v25,2026-06-06T04:42:54.739960,Target for Modern Trade template demo
Gulf Home Improvements of Pearland,Roofing,Pearland,TX,Texas,"8467 Oak Ave, Pearland, TX 96318",(325) 840-2566,False,,0.76,95,sweep_v25,2026-06-06T04:42:54.740001,Target for Modern Trade template demo
Gulf Mechanical of Kyle,HVAC,Kyle,TX,Texas,"2024 Broadway, Kyle, TX 76192",(972) 880-5678,False,,0.79,85,sweep_v25,2026-06-06T04:42:54.740043,Target for Modern Trade template demo
Olive Norwich BBQ & Grill,Restaurant,Norwich,NY,New York,"6798 Madison Ave, Norwich, NY 45254",(315) 600-4036,True,,0.72,46,sweep_v25,2026-06-06T04:42:54.740086,Target for Elegant Food template demo
Central Roof Specialists of Apache Junction,Roofing,Apache Junction,AZ,Arizona,"769 Hamilton Ave, Apache Junction, AZ 96189",(480) 803-8414,False,,0.82,100,sweep_v25,2026-06-06T04:42:54.740128,Target for Modern Trade template demo
Boss Tonawanda Roofing Services,Roofing,Tonawanda,NY,New York,"5352 Broadway, Tonawanda, NY 15562",(718) 310-5914,True,,0.77,50,sweep_v25,2026-06-06T04:42:54.740169,Target for Modern Trade template demo
First Coppell Taqueria,Restaurant,Coppell,TX,Texas,"3516 Veterans Blvd, Coppell, TX 77726",(512) 861-6122,False,,0.85,92,sweep_v25,2026-06-06T04:42:54.740235,Target for Elegant Food template demo
Tough Roofers,Roofing,White Plains,NY,New York,"1458 Commerce St, White Plains, NY 50938",(516) 846-2999,True,,0.85,57,sweep_v25,2026-06-06T04:42:54.740281,Target for Modern Trade template demo
La Bistro & Bar,Restaurant,North Richland Hills,TX,Texas,"141 Highland Ave, North Richland Hills, TX 89733",(469) 973-5916,True,,0.66,43,sweep_v25,2026-06-06T04:42:54.740328,Target for Elegant Food template demo
Piazza Diner,Restaurant,Denton,TX,Texas,"1745 Hamilton Ave, Denton, TX 79205",(903) 460-3171,False,,0.82,88,sweep_v25,2026-06-06T04:42:54.740370,Target for Elegant Food template demo
Eagle Corpus Christi Roofing Services,Roofing,Corpus Christi,TX,Texas,"3861 River Rd, Corpus Christi, TX 76886",(214) 734-6533,True,,0.82,64,sweep_v25,2026-06-06T04:42:54.740412,Target for Modern Trade template demo
American Bedford Cooling & Heating,HVAC,Bedford,TX,Texas,"2464 Valley Blvd, Bedford, TX 98599",(830) 541-5171,True,,0.72,50,sweep_v25,2026-06-06T04:42:54.740454,Target for Modern Trade template demo
Home AC & Heating of Casa Grande,HVAC,Casa Grande,AZ,Arizona,"5728 Innovation Blvd, Casa Grande, AZ 85689",(520) 275-4518,False,,0.89,97,sweep_v25,2026-06-06T04:42:54.740498,Target for Modern Trade template demo
Red Fort Worth Grille,Restaurant,Fort Worth,TX,Texas,"3993 Center St, Fort Worth, TX 43069",(979) 322-3734,False,,0.89,84,sweep_v25,2026-06-06T04:42:54.740540,Target for Elegant Food template demo
Valley Mexican Grill,Restaurant,Clifton,AZ,Arizona,"2303 Elm St, Clifton, AZ 53829",(520) 913-9934,False,,0.73,81,sweep_v25,2026-06-06T04:42:54.740583,Target for Elegant Food template demo
National Climate Control,HVAC,Del Rio,TX,Texas,"3835 Church St, Del Rio, TX 29443",(281) 391-2023,False,,0.84,87,sweep_v25,2026-06-06T04:42:54.740624,Target for Modern Trade template demo
West Heating & Cooling of Amarillo,HVAC,Amarillo,TX,Texas,"182 Highland Ave, Amarillo, TX 79705",(281) 341-8159,True,,0.86,51,sweep_v25,2026-06-06T04:42:54.740666,Target for Modern Trade template demo
Five Star Roofing Contractors of Conroe,Roofing,Conroe,TX,Texas,"7966 Broadway, Conroe, TX 98233",(806) 359-8152,True,,0.74,52,sweep_v25,2026-06-06T04:42:54.740708,Target for Modern Trade template demo
Royal Allen Sushi Bar,Restaurant,Allen,TX,Texas,"1144 Lincoln Ave, Allen, TX 22973",(281) 937-3147,True,,0.73,50,sweep_v25,2026-06-06T04:42:54.740751,Target for Elegant Food template demo
Advanced Paris Roofing,Roofing,Paris,TX,Texas,"3665 1st Ave, Paris, TX 45009",(325) 580-3831,True,,0.86,53,sweep_v25,2026-06-06T04:42:54.740793,Target for Modern Trade template demo
New Taqueria,Restaurant,Round Rock,TX,Texas,"3254 Cedar Ln, Round Rock, TX 33699",(512) 622-5343,False,,0.71,87,sweep_v25,2026-06-06T04:42:54.740834,Target for Elegant Food template demo
