business_name,phone,email,website_url,contact_name,city,state_code,state_name,industry,address,lead_score,source,status
Main Street Fairbanks Climate Control,(907) 485-3592,info@main-street-fairbanks-climate-control.hvac.com,https://www.main-street-fairbanks-climate-control.com,Patrick Mendoza,Fairbanks,AK,Alaska,HVAC,"339 Broadway, Fairbanks, AK",58,national_scrape_v1,new
Pride Fairbanks HVAC,(907) 906-2254,info@pride-fairbanks-hvac.hvacservices.com,https://www.pride-fairbanks-hvac.net,Christopher Edwards,Fairbanks,AK,Alaska,HVAC,"9762 Pine St, Fairbanks, AK",40,national_scrape_v1,new
Goodman of Fairbanks,(907) 615-6184,info@goodman-of-fairbanks.heatingandcooling.net,https://www.goodman-of-fairbanks.net,Brenda Phillips,Fairbanks,AK,Alaska,HVAC,"8577 Sunset Blvd, Fairbanks, AK",67,national_scrape_v1,new
Direct Juneau Heating & Air,(907) 491-6154,info@direct-juneau-heating-air.airconditioning.com,https://www.direct-juneau-heating-air.com,Jacob Martin,Juneau,AK,Alaska,HVAC,"8924 Jackson Dr, Juneau, AK",58,national_scrape_v1,new
Sun Anchorage Air Systems,(907) 685-8138,info@sun-anchorage-air-systems.mechanicalservices.com,https://www.sun-anchorage-air-systems.co,Sarah Hill,Anchorage,AK,Alaska,HVAC,"8644 Freedom Ave, Anchorage, AK",80,national_scrape_v1,new
Front Range Fairbanks Heating & Air,(907) 602-3511,info@front-range-fairbanks-heating-air.acrepair.com,https://www.front-range-fairbanks-heating-air.com,Dennis Miller,Fairbanks,AK,Alaska,HVAC,"8133 Heritage Dr, Fairbanks, AK",48,national_scrape_v1,new
Golden Juneau Air Systems,(907) 565-1412,info@golden-juneau-air-systems.hvacservices.com,https://www.golden-juneau-air-systems.us,Brandon Jimenez,Juneau,AK,Alaska,HVAC,"2204 Freedom Ave, Juneau, AK",81,national_scrape_v1,new
Gulf Fairbanks HVAC,(907) 589-3917,info@gulf-fairbanks-hvac.acrepair.com,https://www.gulf-fairbanks-hvac.com,Katherine Myers,Fairbanks,AK,Alaska,HVAC,"7229 South Ave, Fairbanks, AK",66,national_scrape_v1,new
Flagship Fairbanks Mechanical Services,(907) 296-7654,info@flagship-fairbanks-mechanical-services.hvac.com,https://www.flagship-fairbanks-mechanical-services.com,Raymond Cox,Fairbanks,AK,Alaska,HVAC,"2843 Mill St, Fairbanks, AK",80,national_scrape_v1,new
Clear Anchorage Mechanical Services,(907) 825-4924,info@clear-anchorage-mechanical-services.hvac.com,https://www.clear-anchorage-mechanical-services.net,Larry Hall,Anchorage,AK,Alaska,HVAC,"4616 Cedar Ln, Anchorage, AK",67,national_scrape_v1,new
Right Anchorage Plumbing Services,(907) 746-7718,info@right-anchorage-plumbing-services.plumbing.com,https://www.right-anchorage-plumbing-services.org,Pamela Thompson,Anchorage,AK,Alaska,Plumbing,"554 Liberty Ave, Anchorage, AK",87,national_scrape_v1,new
Plumbing Masters of Fairbanks,(907) 865-2772,info@plumbing-masters-of-fairbanks.rooter.com,https://www.plumbing-masters-of-fairbanks.com,Nicholas Bennett,Fairbanks,AK,Alaska,Plumbing,"4742 Oak Ave, Fairbanks, AK",82,national_scrape_v1,new
Action Anchorage Plumbing Solutions,(907) 496-9462,info@action-anchorage-plumbing-solutions.plumbingservices.net,https://www.action-anchorage-plumbing-solutions.us,Betty Hill,Anchorage,AK,Alaska,Plumbing,"6526 Market St, Anchorage, AK",49,national_scrape_v1,new
Modern Juneau Plumbing Services,(907) 931-8330,info@modern-juneau-plumbing-services.plumbers.net,https://www.modern-juneau-plumbing-services.com,Anna Jones,Juneau,AK,Alaska,Plumbing,"5909 Commerce Dr, Juneau, AK",86,national_scrape_v1,new
Ironclad Fairbanks Drain Cleaning,(907) 656-3058,info@ironclad-fairbanks-drain-cleaning.drainpros.com,https://www.ironclad-fairbanks-drain-cleaning.org,Kathleen Diaz,Fairbanks,AK,Alaska,Plumbing,"7986 Lincoln Ave, Fairbanks, AK",91,national_scrape_v1,new
Clear Juneau Plumbing & Heating,(907) 696-9870,info@clear-juneau-plumbing-heating.drainpros.com,https://www.clear-juneau-plumbing-heating.org,Robert Campbell,Juneau,AK,Alaska,Plumbing,"7156 North St, Juneau, AK",49,national_scrape_v1,new
Aqua Fairbanks Plumbing Pros,(907) 650-4025,info@aqua-fairbanks-plumbing-pros.plumbers.net,https://www.aqua-fairbanks-plumbing-pros.com,Paul Price,Fairbanks,AK,Alaska,Plumbing,"8311 Technology Dr, Fairbanks, AK",93,national_scrape_v1,new
Fairbanks Plumbing & Heating,(907) 318-9346,info@fairbanks-plumbing-heating.pipeanddrain.com,https://www.fairbanks-plumbing-heating.net,Rebecca Bailey,Fairbanks,AK,Alaska,Plumbing,"4176 Oak Ave, Fairbanks, AK",86,national_scrape_v1,new
Premier Anchorage Drain Cleaning,(907) 798-6374,info@premier-anchorage-drain-cleaning.drainpros.com,https://www.premier-anchorage-drain-cleaning.net,Nicholas Young,Anchorage,AK,Alaska,Plumbing,"328 Highland Ave, Anchorage, AK",84,national_scrape_v1,new
Premier Anchorage Plumbing & Heating,(907) 735-5959,info@premier-anchorage-plumbing-heating.rooter.com,https://www.premier-anchorage-plumbing-heating.us,Ashley King,Anchorage,AK,Alaska,Plumbing,"1560 Heritage Dr, Anchorage, AK",58,national_scrape_v1,new
Drain King of Fairbanks,(907) 857-9830,info@drain-king-of-fairbanks.plumbing.com,https://www.drain-king-of-fairbanks.us,Patricia Wood,Fairbanks,AK,Alaska,Plumbing,"9812 Lincoln Ave, Fairbanks, AK",94,national_scrape_v1,new
Rooter-Man of Juneau,(907) 792-9553,info@rooter-man-of-juneau.plumbers.net,https://www.rooter-man-of-juneau.org,Jerry Gray,Juneau,AK,Alaska,Plumbing,"3139 West St, Juneau, AK",80,national_scrape_v1,new
Service Anchorage Rooter & Plumbing,(907) 826-2208,info@service-anchorage-rooter-plumbing.plumbingservices.net,https://www.service-anchorage-rooter-plumbing.net,Anna Ross,Anchorage,AK,Alaska,Plumbing,"9554 University Blvd, Anchorage, AK",82,national_scrape_v1,new
Modern Fairbanks Plumbing,(907) 481-8203,info@modern-fairbanks-plumbing.drainpros.com,https://www.modern-fairbanks-plumbing.org,Steven Hill,Fairbanks,AK,Alaska,Plumbing,"2675 Sunset Blvd, Fairbanks, AK",68,national_scrape_v1,new
Plumbing Masters of Juneau,(907) 581-3008,info@plumbing-masters-of-juneau.rooter.com,https://www.plumbing-masters-of-juneau.us,Stephanie Gonzalez,Juneau,AK,Alaska,Plumbing,"2631 Cedar Ln, Juneau, AK",82,national_scrape_v1,new
Pride Fairbanks Plumbing,(907) 864-9860,info@pride-fairbanks-plumbing.plumbers.net,https://www.pride-fairbanks-plumbing.us,Kathleen Kelly,Fairbanks,AK,Alaska,Plumbing,"6924 5th Ave, Fairbanks, AK",88,national_scrape_v1,new
Rapid Anchorage Plumbing Co.,(907) 465-5517,info@rapid-anchorage-plumbing-co.rooter.com,https://www.rapid-anchorage-plumbing-co.net,Heather Moore,Anchorage,AK,Alaska,Plumbing,"9257 Church St, Anchorage, AK",40,national_scrape_v1,new
Juneau Rooter & Plumbing,(907) 549-6125,info@juneau-rooter-plumbing.plumbers.net,https://www.juneau-rooter-plumbing.co,Stephanie Robinson,Juneau,AK,Alaska,Plumbing,"4778 Jefferson Dr, Juneau, AK",61,national_scrape_v1,new
Fairbanks Plumbing Pros,(907) 692-7789,info@fairbanks-plumbing-pros.plumbingservices.net,https://www.fairbanks-plumbing-pros.co,George Alvarez,Fairbanks,AK,Alaska,Plumbing,"6896 South Ave, Fairbanks, AK",56,national_scrape_v1,new
Heritage Fairbanks Roof Pros,(907) 361-8241,info@heritage-fairbanks-roof-pros.exteriors.com,https://www.heritage-fairbanks-roof-pros.co,Barbara Thomas,Fairbanks,AK,Alaska,Roofing,"1120 Market St, Fairbanks, AK",61,national_scrape_v1,new
Anchorage Roofing,(907) 542-2883,info@anchorage-roofing.exteriors.com,https://www.anchorage-roofing.us,Jerry Cooper,Anchorage,AK,Alaska,Roofing,"9623 East Blvd, Anchorage, AK",67,national_scrape_v1,new
Direct Fairbanks Roofing Services,(907) 784-3875,info@direct-fairbanks-roofing-services.roofers.net,https://www.direct-fairbanks-roofing-services.net,Jack Scott,Fairbanks,AK,Alaska,Roofing,"2166 Professional Pkwy, Fairbanks, AK",51,national_scrape_v1,new
IKO of Anchorage,(907) 575-5329,info@iko-of-anchorage.roofingcontractors.com,https://www.iko-of-anchorage.us,Patrick Miller,Anchorage,AK,Alaska,Roofing,"7947 Washington St, Anchorage, AK",42,national_scrape_v1,new
GAF of Anchorage,(907) 414-8296,info@gaf-of-anchorage.roofingservices.com,https://www.gaf-of-anchorage.co,Dorothy Cox,Anchorage,AK,Alaska,Roofing,"5291 College Ave, Anchorage, AK",69,national_scrape_v1,new
Accurate Anchorage Roof Pros,(907) 552-6451,info@accurate-anchorage-roof-pros.roofsolutions.com,https://www.accurate-anchorage-roof-pros.net,Rebecca Cruz,Anchorage,AK,Alaska,Roofing,"6494 Main St, Anchorage, AK",55,national_scrape_v1,new
Eagle Fairbanks Roofing & Construction,(907) 647-7913,info@eagle-fairbanks-roofing-construction.roofsolutions.com,https://www.eagle-fairbanks-roofing-construction.com,Brandon Moore,Fairbanks,AK,Alaska,Roofing,"1018 Sunset Blvd, Fairbanks, AK",82,national_scrape_v1,new
Direct Anchorage Roofing Solutions,(907) 519-1962,info@direct-anchorage-roofing-solutions.roofing.com,https://www.direct-anchorage-roofing-solutions.org,Katherine Ortiz,Anchorage,AK,Alaska,Roofing,"426 2nd Ave, Anchorage, AK",43,national_scrape_v1,new
Southwest Juneau Roofing & Remodeling,(907) 390-2763,info@southwest-juneau-roofing-remodeling.exteriors.com,https://www.southwest-juneau-roofing-remodeling.org,Timothy Foster,Juneau,AK,Alaska,Roofing,"9037 East Blvd, Juneau, AK",73,national_scrape_v1,new
United Fairbanks Roofing & Siding,(907) 443-4246,info@united-fairbanks-roofing-siding.exteriors.com,https://www.united-fairbanks-roofing-siding.com,Susan Rogers,Fairbanks,AK,Alaska,Roofing,"9603 Freedom Ave, Fairbanks, AK",70,national_scrape_v1,new
Express Fairbanks Roofing & Remodeling,(907) 497-2434,info@express-fairbanks-roofing-remodeling.roofingcontractors.com,https://www.express-fairbanks-roofing-remodeling.com,Sarah Howard,Fairbanks,AK,Alaska,Roofing,"3822 4th Blvd, Fairbanks, AK",74,national_scrape_v1,new
Easy Anchorage Roofing Services,(907) 738-9673,info@easy-anchorage-roofing-services.roofers.net,https://www.easy-anchorage-roofing-services.com,Stephanie Brown,Anchorage,AK,Alaska,Roofing,"9645 Church St, Anchorage, AK",51,national_scrape_v1,new
Allied Fairbanks Roofing Contractors,(907) 875-6401,info@allied-fairbanks-roofing-contractors.roofing.com,https://www.allied-fairbanks-roofing-contractors.com,Timothy James,Fairbanks,AK,Alaska,Roofing,"2215 Mill St, Fairbanks, AK",55,national_scrape_v1,new
Heritage Juneau Roof Pros,(907) 435-4446,info@heritage-juneau-roof-pros.exteriors.com,https://www.heritage-juneau-roof-pros.com,Robert Richardson,Juneau,AK,Alaska,Roofing,"4234 Innovation Blvd, Juneau, AK",40,national_scrape_v1,new
Quality Anchorage Roofing Contractors,(907) 228-9529,info@quality-anchorage-roofing-contractors.roofpros.com,https://www.quality-anchorage-roofing-contractors.co,Matthew Ruiz,Anchorage,AK,Alaska,Roofing,"2163 Heritage Dr, Anchorage, AK",64,national_scrape_v1,new
Royal Juneau Roofing,(907) 241-1668,info@royal-juneau-roofing.roofingcontractors.com,https://www.royal-juneau-roofing.com,Jason Reyes,Juneau,AK,Alaska,Roofing,"432 Main St, Juneau, AK",54,national_scrape_v1,new
Red Juneau Roofing Contractors,(907) 624-6492,info@red-juneau-roofing-contractors.roofing.com,https://www.red-juneau-roofing-contractors.org,Jennifer Evans,Juneau,AK,Alaska,Roofing,"7798 Technology Dr, Juneau, AK",84,national_scrape_v1,new
GAF of Fairbanks,(907) 896-9471,info@gaf-of-fairbanks.roofing.com,https://www.gaf-of-fairbanks.com,Robert Cruz,Fairbanks,AK,Alaska,Roofing,"844 River Rd, Fairbanks, AK",76,national_scrape_v1,new
Blue Fairbanks Roofing,(907) 342-4408,info@blue-fairbanks-roofing.exteriors.com,https://www.blue-fairbanks-roofing.org,Donald Hill,Fairbanks,AK,Alaska,Roofing,"2964 Technology Dr, Fairbanks, AK",50,national_scrape_v1,new
Royal Juneau Exteriors,(907) 327-5672,info@royal-juneau-exteriors.com,https://www.royal-juneau-exteriors.co,Michelle Robinson,Juneau,AK,Alaska,Roofing,"1621 Monroe St, Juneau, AK",95,national_scrape_v1,new
Total Juneau Electrical Contractors,(907) 346-8344,info@total-juneau-electrical-contractors.electrict.com,https://www.total-juneau-electrical-contractors.org,Helen King,Juneau,AK,Alaska,Electrical,"3773 University Blvd, Juneau, AK",43,national_scrape_v1,new
Shock Juneau Electrical,(907) 270-6971,info@shock-juneau-electrical.electricpros.com,https://www.shock-juneau-electrical.co,Katherine Cox,Juneau,AK,Alaska,Electrical,"2301 Monroe St, Juneau, AK",52,national_scrape_v1,new
Solar Fairbanks Electric,(907) 295-3088,info@solar-fairbanks-electric.electrical.com,https://www.solar-fairbanks-electric.com,Jason Reyes,Fairbanks,AK,Alaska,Electrical,"1053 Highland Ave, Fairbanks, AK",49,national_scrape_v1,new
National Fairbanks Electric Co.,(907) 498-5569,info@national-fairbanks-electric-co.electricalservices.com,https://www.national-fairbanks-electric-co.co,Amy Chavez,Fairbanks,AK,Alaska,Electrical,"5544 East Blvd, Fairbanks, AK",44,national_scrape_v1,new
Arrow Anchorage Electrical Services,(907) 465-2606,info@arrow-anchorage-electrical-services.electrician.net,https://www.arrow-anchorage-electrical-services.net,Jeffrey Alvarez,Anchorage,AK,Alaska,Electrical,"252 School St, Anchorage, AK",59,national_scrape_v1,new
Superior Fairbanks Electrical & Lighting,(907) 833-4327,info@superior-fairbanks-electrical-lighting.electrict.com,https://www.superior-fairbanks-electrical-lighting.org,Dorothy Collins,Fairbanks,AK,Alaska,Electrical,"9579 Liberty Ave, Fairbanks, AK",86,national_scrape_v1,new
Guardian Anchorage Electricians,(907) 637-5049,info@guardian-anchorage-electricians.powerandlight.com,https://www.guardian-anchorage-electricians.us,Alexander Morgan,Anchorage,AK,Alaska,Electrical,"2615 East Blvd, Anchorage, AK",85,national_scrape_v1,new
Precision Anchorage Electrical & Lighting,(907) 704-4160,info@precision-anchorage-electrical-lighting.electrician.net,https://www.precision-anchorage-electrical-lighting.us,Raymond Ramirez,Anchorage,AK,Alaska,Electrical,"9601 School St, Anchorage, AK",67,national_scrape_v1,new
Select Fairbanks Electrical Systems,(907) 667-2699,info@select-fairbanks-electrical-systems.electrical.com,https://www.select-fairbanks-electrical-systems.com,George Nguyen,Fairbanks,AK,Alaska,Electrical,"7553 Lake Dr, Fairbanks, AK",40,national_scrape_v1,new
Mr. Electric of Anchorage,(907) 343-2959,info@mr-electric-of-anchorage.electricalservices.com,https://www.mr-electric-of-anchorage.com,Samuel Kelly,Anchorage,AK,Alaska,Electrical,"4524 Main St, Anchorage, AK",90,national_scrape_v1,new
Volt Juneau Electrical Solutions,(907) 375-3536,info@volt-juneau-electrical-solutions.electrician.net,https://www.volt-juneau-electrical-solutions.net,Amy Harris,Juneau,AK,Alaska,Electrical,"8006 Lake Dr, Juneau, AK",70,national_scrape_v1,new
Spark Juneau Electrical Contractors,(907) 265-6757,info@spark-juneau-electrical-contractors.electricalservices.com,https://www.spark-juneau-electrical-contractors.net,Patrick Morales,Juneau,AK,Alaska,Electrical,"4203 Oak Ave, Juneau, AK",77,national_scrape_v1,new
Anchorage Electric,(907) 734-7882,info@anchorage-electric.electrical.com,https://www.anchorage-electric.net,Frank Ortiz,Anchorage,AK,Alaska,Electrical,"3271 College Ave, Anchorage, AK",94,national_scrape_v1,new
Southwest Fairbanks Electrical Services,(907) 862-9176,info@southwest-fairbanks-electrical-services.electricalservices.com,https://www.southwest-fairbanks-electrical-services.net,Shirley Brown,Fairbanks,AK,Alaska,Electrical,"9037 West St, Fairbanks, AK",54,national_scrape_v1,new
Green Fairbanks Electrical Pros,(907) 812-5632,info@green-fairbanks-electrical-pros.electrict.com,https://www.green-fairbanks-electrical-pros.com,Angela Campbell,Fairbanks,AK,Alaska,Electrical,"7117 Washington St, Fairbanks, AK",83,national_scrape_v1,new
All Anchorage Electrical,(907) 450-9079,info@all-anchorage-electrical.com,https://www.all-anchorage-electrical.com,James Miller,Anchorage,AK,Alaska,Electrical,"855 South Ave, Anchorage, AK",90,national_scrape_v1,new
Anchorage Electrical Pros,(907) 966-4367,info@anchorage-electrical-pros.electrician.net,https://www.anchorage-electrical-pros.net,Heather Gomez,Anchorage,AK,Alaska,Electrical,"5171 Hamilton Ave, Anchorage, AK",51,national_scrape_v1,new
Lightning Juneau Electrical Services,(907) 396-7889,info@lightning-juneau-electrical-services.electrical.com,https://www.lightning-juneau-electrical-services.org,Rachel Hughes,Juneau,AK,Alaska,Electrical,"6590 Cedar Ln, Juneau, AK",78,national_scrape_v1,new
Mr. Electric of Fairbanks,(907) 323-9938,info@mr-electric-of-fairbanks.electricalservices.com,https://www.mr-electric-of-fairbanks.net,Eric Martin,Fairbanks,AK,Alaska,Electrical,"9248 Business Park Dr, Fairbanks, AK",49,national_scrape_v1,new
Coastal Fairbanks Cafe,(907) 201-6300,info@coastal-fairbanks-cafe.yelp.com,https://www.coastal-fairbanks-cafe.co,Raymond Rogers,Fairbanks,AK,Alaska,Restaurant,"8255 Hamilton Ave, Fairbanks, AK",54,national_scrape_v1,new
Chili's of Fairbanks,(907) 914-5939,info@chilis-of-fairbanks.orderfood.com,https://www.chilis-of-fairbanks.us,Jason Thompson,Fairbanks,AK,Alaska,Restaurant,"2129 Market St, Fairbanks, AK",58,national_scrape_v1,new
Queens Fairbanks Cafe,(907) 890-3336,info@queens-fairbanks-cafe.dining.com,https://www.queens-fairbanks-cafe.com,Paul Taylor,Fairbanks,AK,Alaska,Restaurant,"8641 North St, Fairbanks, AK",67,national_scrape_v1,new
Crown Anchorage Steakhouse,(907) 957-3143,info@crown-anchorage-steakhouse.yelp.com,https://www.crown-anchorage-steakhouse.net,Stephen Nelson,Anchorage,AK,Alaska,Restaurant,"2728 Mill St, Anchorage, AK",68,national_scrape_v1,new
Valley Anchorage Kitchen,(907) 720-7937,info@valley-anchorage-kitchen.opentable.net,https://www.valley-anchorage-kitchen.co,Charles Walker,Anchorage,AK,Alaska,Restaurant,"5168 Hamilton Ave, Anchorage, AK",76,national_scrape_v1,new
Classic Spot Anchorage,(907) 538-8325,info@classic-spot-anchorage.restaurant.com,https://www.classic-spot-anchorage.net,Stephanie Sanders,Anchorage,AK,Alaska,Restaurant,"1046 Monroe St, Anchorage, AK",89,national_scrape_v1,new
Fairbanks Greek Bar & Grill,(907) 705-2476,info@fairbanks-greek-bar-grill.eatery.net,https://www.fairbanks-greek-bar-grill.com,George Cook,Fairbanks,AK,Alaska,Restaurant,"7946 Sunset Blvd, Fairbanks, AK",95,national_scrape_v1,new
North Anchorage Steakhouse,(907) 351-1087,info@north-anchorage-steakhouse.eatery.net,https://www.north-anchorage-steakhouse.co,Charles Wood,Anchorage,AK,Alaska,Restaurant,"7631 Liberty Ave, Anchorage, AK",83,national_scrape_v1,new
Happy Cafe Juneau,(907) 864-8590,info@happy-cafe-juneau.yelp.com,https://www.happy-cafe-juneau.co,Dorothy Scott,Juneau,AK,Alaska,Restaurant,"7936 Monroe St, Juneau, AK",44,national_scrape_v1,new
Anchorage Restaurant,(907) 376-8364,info@anchorage-restaurant.dining.com,https://www.anchorage-restaurant.co,Anthony Rogers,Anchorage,AK,Alaska,Restaurant,"5426 Elm St, Anchorage, AK",83,national_scrape_v1,new
Tasty View Anchorage,(907) 362-5504,info@tasty-view-anchorage.dinein.com,https://www.tasty-view-anchorage.us,Joseph Morgan,Anchorage,AK,Alaska,Restaurant,"6079 Maple Dr, Anchorage, AK",51,national_scrape_v1,new
Ridge Juneau Steakhouse,(907) 910-2611,info@ridge-juneau-steakhouse.eatery.net,https://www.ridge-juneau-steakhouse.com,Richard Morgan,Juneau,AK,Alaska,Restaurant,"6305 Freedom Ave, Juneau, AK",44,national_scrape_v1,new
Classic Place Juneau,(907) 703-3665,info@classic-place-juneau.eatery.net,https://www.classic-place-juneau.net,Shirley Ortiz,Juneau,AK,Alaska,Restaurant,"2407 Main St, Juneau, AK",59,national_scrape_v1,new
Anchorage Greek Kitchen,(907) 330-3797,info@anchorage-greek-kitchen.restaurant.com,https://www.anchorage-greek-kitchen.net,Jonathan Hernandez,Anchorage,AK,Alaska,Restaurant,"4308 Heritage Dr, Anchorage, AK",88,national_scrape_v1,new
Fairbanks Bistro,(907) 924-5127,info@fairbanks-bistro.dinein.com,https://www.fairbanks-bistro.com,Angela Young,Fairbanks,AK,Alaska,Restaurant,"1929 5th Ave, Fairbanks, AK",83,national_scrape_v1,new
New Kitchen Anchorage,(907) 821-7908,info@new-kitchen-anchorage.dinein.com,https://www.new-kitchen-anchorage.org,Justin Green,Anchorage,AK,Alaska,Restaurant,"4806 Professional Pkwy, Anchorage, AK",71,national_scrape_v1,new
Town Anchorage Cafe,(907) 361-1445,info@town-anchorage-cafe.yelp.com,https://www.town-anchorage-cafe.com,Catherine Ramirez,Anchorage,AK,Alaska,Restaurant,"6939 Heritage Dr, Anchorage, AK",72,national_scrape_v1,new
Dominion Juneau Bar & Grill,(907) 205-4237,info@dominion-juneau-bar-grill.eatery.net,https://www.dominion-juneau-bar-grill.com,Daniel Sanchez,Juneau,AK,Alaska,Restaurant,"2120 Park Ave, Juneau, AK",92,national_scrape_v1,new
Old Bowl Fairbanks,(907) 740-4611,info@old-bowl-fairbanks.eatery.net,https://www.old-bowl-fairbanks.net,Andrew Smith,Fairbanks,AK,Alaska,Restaurant,"2573 School St, Fairbanks, AK",75,national_scrape_v1,new
Ultimate Huntsville Mechanical Services,(334) 898-4374,info@ultimate-huntsville-mechanical-services.airconditioning.com,https://www.ultimate-huntsville-mechanical-services.co,Melissa Gutierrez,Huntsville,AL,Alabama,HVAC,"6441 Enterprise Ave, Huntsville, AL",57,national_scrape_v1,new
Southwest Birmingham Air Systems,(938) 810-9151,info@southwest-birmingham-air-systems.hvacpros.net,https://www.southwest-birmingham-air-systems.us,Ronald Smith,Birmingham,AL,Alabama,HVAC,"3421 Liberty Ave, Birmingham, AL",93,national_scrape_v1,new
Central Birmingham Mechanical Services,(205) 884-8235,info@central-birmingham-mechanical-services.comfortsolutions.com,https://www.central-birmingham-mechanical-services.org,Kathleen Hill,Birmingham,AL,Alabama,HVAC,"9460 Elm St, Birmingham, AL",66,national_scrape_v1,new
Pioneer Mobile Heating & Air,(334) 522-7785,info@pioneer-mobile-heating-air.mechanicalservices.com,https://www.pioneer-mobile-heating-air.org,John Morgan,Mobile,AL,Alabama,HVAC,"4260 1st St, Mobile, AL",63,national_scrape_v1,new
Crown Birmingham Heating & Air,(334) 322-5473,info@crown-birmingham-heating-air.mechanicalservices.com,https://www.crown-birmingham-heating-air.net,Ryan Flores,Birmingham,AL,Alabama,HVAC,"7062 East Blvd, Birmingham, AL",61,national_scrape_v1,new
Clear Birmingham Climate Control,(938) 948-3060,info@clear-birmingham-climate-control.hvacpros.net,https://www.clear-birmingham-climate-control.org,Kimberly Young,Birmingham,AL,Alabama,HVAC,"9438 Maple Dr, Birmingham, AL",70,national_scrape_v1,new
National Mobile Air Conditioning,(251) 511-8552,info@national-mobile-air-conditioning.heatingandcooling.net,https://www.national-mobile-air-conditioning.us,Jerry Young,Mobile,AL,Alabama,HVAC,"5442 Highland Ave, Mobile, AL",90,national_scrape_v1,new
Atlas Mobile Mechanical Services,(205) 743-7593,info@atlas-mobile-mechanical-services.mechanicalservices.com,https://www.atlas-mobile-mechanical-services.org,Michelle Gonzalez,Mobile,AL,Alabama,HVAC,"9505 Maple Dr, Mobile, AL",87,national_scrape_v1,new
Capital Montgomery Air Conditioning,(256) 289-4614,info@capital-montgomery-air-conditioning.comfortsolutions.com,https://www.capital-montgomery-air-conditioning.org,Christopher Reyes,Montgomery,AL,Alabama,HVAC,"4173 Corporate Dr, Montgomery, AL",71,national_scrape_v1,new
Liberty Montgomery Temperature Control,(334) 878-8799,info@liberty-montgomery-temperature-control.heatingandcooling.net,https://www.liberty-montgomery-temperature-control.com,Joseph Jones,Montgomery,AL,Alabama,HVAC,"6277 Heritage Dr, Montgomery, AL",84,national_scrape_v1,new
United Mobile Mechanical Services,(334) 478-2738,info@united-mobile-mechanical-services.heatingandcooling.net,https://www.united-mobile-mechanical-services.com,Heather Rodriguez,Mobile,AL,Alabama,HVAC,"6746 Corporate Dr, Mobile, AL",81,national_scrape_v1,new
ProTech Birmingham Heating & Cooling,(205) 639-9085,info@protech-birmingham-heating-cooling.comfortsolutions.com,https://www.protech-birmingham-heating-cooling.net,Kathleen Reed,Birmingham,AL,Alabama,HVAC,"5626 School St, Birmingham, AL",41,national_scrape_v1,new
